Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Otwarcie_eah_d,Najwyzszy_eah_d,Najnizszy_eah_d,Zamkniecie_eah_d,Wolumen_eah_d,Otwarcie_mon_d,Najwyzszy_mon_d,Najnizszy_mon_d,Zamkniecie_mon_d,Wolumen_mon_d,Otwarcie_woj,Najwyzszy_woj,Najnizszy_woj,Zamkniecie_woj,Wolumen_woj,Otwarcie_pum_de_d,Najwyzszy_pum_de_d,Najnizszy_pum_de_d,Zamkniecie_pum_de_d,Wolumen_pum_de_d,Otwarcie_wig20_d,Najwyzszy_wig20_d,Najnizszy_wig20_d,Zamkniecie_wig20_d,Wolumen_wig20_d,Otwarcie_swig80_d,Najwyzszy_swig80_d,Najnizszy_swig80_d,Zamkniecie_swig80_d,Wolumen_swig80_d,Otwarcie_boss_de_d,Najwyzszy_boss_de_d,Najnizszy_boss_de_d,Zamkniecie_boss_de_d,Wolumen_boss_de_d,Otwarcie_ads_de_d,Najwyzszy_ads_de_d,Najnizszy_ads_de_d,Zamkniecie_ads_de_d,Wolumen_ads_de_d,Otwarcie_wig_d,Najwyzszy_wig_d,Najnizszy_wig_d,Zamkniecie_wig_d,Wolumen_wig_d,Otwarcie_nke_us_d,Najwyzszy_nke_us_d,Najnizszy_nke_us_d,Zamkniecie_nke_us_d,Wolumen_nke_us_d
2015-04-07,167.47,168.8,166.04,166.38,21756,26.6746,26.6746,25.2033,25.4187,366.2542372986,14.345,14.671,14.345,14.542,39928,7.8985,7.9854,7.8552,7.9679,12321,165.450599,168.993233,164.732497,168.562375,7037,2407.5,2431.6,2405.1,2420.78,18973225.0,13548.04,13587.47,13511.62,13523.52,6281960.0,91.787575,92.428326,91.347058,92.228092,168174,69.134666,69.664327,68.800144,69.274053,1085943,54295.49,54699.04,54290.71,54490.95,48115698.0,45.9302,46.1782,45.8092,45.8757,4335730.6129924
2015-04-08,166.04,168.55,165.56,167.47,111034,26.6746,26.6746,25.0394,25.0394,1802.4406780176,14.661,14.976,14.651,14.937,104177,7.9679,8.1068,7.942,8.1068,19404,169.471967,169.615588,167.269789,169.615582,6197,2422.16,2432.94,2419.01,2424.82,26438088.0,13529.44,13564.76,13516.29,13548.96,6496429.0,92.508419,92.988983,92.067903,92.908889,167525,69.218297,69.692204,68.930236,69.692204,825415,54557.85,54724.37,54522.46,54647.1,57557121.0,46.0561,46.5073,45.9252,46.4478,7080886.6138589
2015-04-09,167.09,167.47,163.71,165.29,67434,26.6746,31.6306,25.238,30.0479,5804.5423730472,15.085,15.38,15.085,15.213,90100,8.1329,8.3325,8.1329,8.2371,34404,170.429436,173.301842,170.429436,173.301842,8653,2423.81,2441.89,2423.16,2441.89,23136252.0,13569.57,13622.13,13567.45,13591.31,5130087.0,93.669781,95.592033,93.509593,95.15152,213632,69.692204,70.621433,69.608573,70.454172,1017957,54680.61,55063.85,54658.01,55063.85,50562144.0,46.5203,46.8317,46.3358,46.3923,5754200.3281364
2015-04-10,165.09,167.75,165.09,166.14,135425,30.0994,30.3316,28.3949,29.6864,4667.3389831842,15.292,15.38,14.947,14.986,41803,8.2371,8.2371,8.2023,8.2371,10423,175.21678,178.089186,173.780577,178.089186,14946,2443.83,2451.52,2434.95,2443.62,21882338.0,13630.9,13662.09,13593.62,13593.62,4870022.0,95.551986,96.433019,95.231611,96.112644,202604,70.621433,71.764385,70.612141,71.7458,1051657,55186.41,55243.48,54938.65,55026.26,43248906.0,46.4835,46.554,46.0234,46.0432,6424933.8447
2015-04-13,167.84,170.49,166.24,170.49,36857,31.3215,31.3215,29.6864,29.6864,6869.1355934166,14.986,15.193,14.661,14.789,51351,8.2892,8.3152,8.2371,8.2892,9403,178.089186,179.764756,176.365742,179.764756,9684,2441.37,2444.53,2433.4,2442.47,17331609.0,13619.75,13623.88,13573.72,13599.5,3527581.0,96.03255,96.392972,94.390625,94.831143,140560,71.439155,71.78297,71.076756,71.290479,766627,55039.68,55058.65,54841.51,55027.41,32808797.0,46.0432,46.0858,45.6248,45.7191,7940074.9119421
2015-04-14,170.78,173.02,169.08,172.97,35034,30.547,32.2683,28.4989,30.1162,4923.6101696322,14.74,14.779,14.109,14.572,68980,8.3325,8.3325,8.2457,8.3066,10741,177.514705,179.190275,176.509363,177.945571,15159,2441.59,2442.98,2424.39,2434.89,16019618.0,13601.7,13616.31,13527.4,13536.83,4499818.0,94.791095,94.831142,93.629734,93.990154,146935,70.900202,71.281186,70.454172,70.732943,845518,55030.27,55039.06,54776.12,54971.31,37330048.0,45.6248,45.9669,45.4532,45.838,5179462.5069362
2015-04-15,174.11,176.81,172.74,176.47,60593,32.672,32.672,32.672,32.672,35.2372881366,14.582,14.661,14.306,14.661,15650,8.2892,8.3325,8.2457,8.3325,13836,179.046655,186.275544,179.046655,185.557445,20159,2432.55,2475.59,2432.55,2475.33,23011010.0,13531.22,13580.61,13517.66,13567.3,4473747.0,94.510766,95.311705,94.230438,94.75105,117371,70.52851,71.467032,70.045311,70.863035,1101532,54948.55,55648.2,54948.55,55648.2,49412852.0,46.3507,46.3973,45.9302,45.9768,6189247.6320931
2015-04-16,177.19,180.85,176.47,180.85,32868,32.672,32.672,30.96,30.96,3.2033898306,14.582,14.661,14.385,14.631,32096,8.3239,8.3239,8.2457,8.2717,3125,186.467037,188.860709,185.796809,187.041524,17399,2476.35,2503.65,2476.35,2503.65,26876279.0,13600.26,13619.38,13564.17,13564.8,6437111.0,94.911236,94.991329,93.509593,93.910062,140660,70.863033,71.792262,70.184695,70.649309,1108641,55718.53,56165.1,55708.22,56165.1,49400681.0,45.8182,46.1355,45.7785,46.0095,4455480.1805749
2015-04-17,181.22,181.22,175.82,175.82,54353,32.672,32.672,32.5437,32.5689,21.355932204,14.7,15.233,14.7,14.848,322372,8.2717,8.3325,8.2023,8.2632,5316,186.706405,186.706405,182.685036,182.972282,7862,2500.19,2512.67,2463.96,2463.96,26266928.0,13583.2,13608.9,13486.18,13516.52,4533067.0,93.870015,94.270485,92.62856,93.229266,193529,70.389126,70.965248,67.991714,68.158973,1527758,56088.4,56311.48,55459.57,55459.57,44608863.0,45.6734,45.7626,45.1994,45.3878,6567590.192476
2015-04-20,176.15,180.27,176.15,180.27,37204,31.8375,31.8375,30.754,30.754,109.9830508506,14.769,15.183,14.769,15.104,126150,8.2632,8.3325,8.2632,8.3325,1705,181.536073,183.690378,181.057339,182.254181,5771,2468.91,2510.26,2468.91,2505.34,20139306.0,13513.05,13582.59,13510.67,13580.22,4106609.0,93.429499,94.150344,92.62856,92.908889,134883,68.093929,69.543527,68.05676,69.459896,829178,55593.17,56241.18,55593.17,56191.3,39274076.0,45.6337,46.2147,45.6059,46.0521,6740395.9572648
2015-04-21,180.27,183.11,179.14,181.22,91756,31.8375,31.8375,30.9769,30.9769,638.5423728996,15.134,15.371,15.134,15.134,86962,8.3325,8.3325,8.2457,8.3152,5129,179.716883,184.025492,179.716883,181.488203,3981,2513.88,2528.43,2498.52,2509.5,23036827.0,13597.87,13647.48,13597.87,13607.58,5015684.0,93.189217,94.150344,92.668607,93.749877,95235,69.692204,70.909494,69.478481,70.277615,1073170,56388.23,56591.82,56052.07,56226.22,43081792.0,46.4121,46.4518,45.9252,46.192,5564315.574602
2015-04-22,181.22,182.31,179.8,182.31,48994,30.9769,30.9769,30.1162,30.1162,42.711864408,15.183,15.558,15.183,15.38,78179,8.3325,8.3325,8.2023,8.2892,10922,182.972277,190.967141,182.780783,190.679894,16720,2510.36,2526.18,2500.87,2520.38,25191763.0,13635.75,13652.44,13578.92,13623.94,4201556.0,92.908889,93.469546,90.385932,91.066727,356256,70.156818,70.85374,68.893066,69.153249,979918,56242.46,56515.49,56070.23,56450.94,46950985.0,46.197,46.2367,45.7279,46.1255,4240358.1353335
2015-04-23,182.16,183.89,180.27,181.6,43173,30.9769,30.9769,30.1162,30.1162,1171.3728813894,15.43,15.755,15.43,15.578,98607,8.3325,8.8011,8.2457,8.5061,55598,191.493748,192.929951,189.770305,191.972483,12478,2529.38,2534.0,2506.45,2522.78,18562326.0,13650.83,13720.67,13650.83,13699.99,4403391.0,91.747528,91.867668,89.865322,90.025511,218185,69.078912,69.497066,67.787284,68.066052,1257224,56651.5,56666.79,56227.87,56492.95,36874090.0,45.954,46.789,45.7993,46.5629,5067860.1494433
2015-04-24,181.7,182.16,178.84,182.07,23364,30.9769,30.9769,30.1162,30.2885,1369.9830508866,15.676,15.972,15.578,15.765,110098,8.4801,8.6625,8.3933,8.5409,10461,188.142608,191.493748,186.08405,188.621342,13074,2524.02,2531.29,2508.31,2519.2,20853296.0,13713.67,13741.73,13689.93,13741.73,3104519.0,90.425979,90.626213,89.184524,90.305838,184791,68.307652,69.720081,68.307652,69.143962,887726,56519.96,56630.28,56274.48,56518.96,36626740.0,46.2694,46.6432,46.1553,46.4974,4705141.3947192
2015-04-27,181.22,192.62,181.22,188.72,75477,30.9769,31.579,30.7025,30.7025,2862.7627119462,15.923,15.923,15.479,15.479,61881,8.4627,8.5409,8.3412,8.4107,3274,186.323417,188.621342,185.988303,188.094731,5916,2520.88,2558.58,2518.99,2549.4,27151662.0,13736.17,13759.99,13693.55,13735.87,5471410.0,90.466026,91.547293,89.865322,91.307011,130471,69.274051,71.095342,68.772267,71.095342,987947,56584.16,57148.74,56514.3,57060.97,46543110.0,46.6382,46.9734,46.4151,46.4924,5600046.722998
2015-04-28,189.77,190.71,185.03,186.06,60227,31.8375,31.8375,31.8375,31.8375,4.2711864408,15.38,15.43,14.986,15.233,92253,8.4193,8.4193,8.1677,8.3066,15017,188.286228,188.286228,185.94043,186.419161,8221,2547.24,2557.19,2539.8,2548.98,29725213.0,13750.18,13754.01,13693.78,13713.25,4198516.0,91.307011,91.467199,89.544946,90.065554,152820,71.141802,71.476324,70.472756,70.872322,1165167,57020.73,57192.85,56866.3,56993.2,47737668.0,46.3705,46.429,45.6833,45.9917,6548288.5956059
2015-04-29,187.72,187.77,180.27,182.16,49251,31.8375,31.8375,31.8375,31.8375,3.2033898306,15.38,15.568,14.986,15.035,35796,8.3325,8.3325,8.3066,8.3066,126,185.270202,185.413822,179.094528,179.429636,11294,2549.16,2556.4,2516.77,2521.57,20020058.0,13736.99,13766.45,13716.01,13729.45,5102870.0,90.425979,90.786401,87.903022,88.103257,211269,70.928079,71.439155,68.112514,68.186849,1479564,57074.8,57141.04,56449.23,56559.4,35874856.0,45.838,46.2832,45.7131,46.1355,5857131.0852383
2015-04-30,180.51,183.6,178.76,180.76,71239,31.8375,31.8375,30.4861,31.8375,721.8305084952,15.233,15.233,14.69,14.986,50115,8.2892,8.2892,8.2023,8.2457,3199,178.137059,178.615794,172.105006,174.115696,21048,2518.69,2529.38,2508.27,2514.63,24480983.0,13715.34,13771.72,13713.67,13757.52,3985377.0,90.506073,90.506073,86.901849,88.263442,314595,68.251898,68.837313,67.712945,68.224019,1148391,56509.25,56684.01,56352.35,56477.69,41915356.0,45.9401,46.2921,45.3462,45.5216,7053310.7430954
2015-05-04,181.46,184.68,172.21,176.47,64895,31.8375,31.8375,29.8587,29.8587,64.067796612,14.887,15.361,14.878,15.331,29722,8.1677,8.2544,7.5167,8.0548,10506,174.546552,178.56792,174.546552,176.988103,5165,2519.97,2536.86,2517.05,2523.09,15011444.0,13769.29,13876.16,13769.29,13876.16,5250237.0,88.18335,90.14565,87.983116,89.905369,135860,68.781559,70.64931,68.354113,70.231159,1221909,56759.18,56871.4,56562.0,56699.49,37872274.0,46.5203,46.6045,46.2793,46.4429,4947998.6447002
2015-05-05,177.8,178.53,169.84,172.59,70214,31.7514,31.7514,31.4161,31.579,1419.1016949558,15.38,15.538,15.183,15.183,23886,8.0722,8.1937,7.7944,7.8118,11339,176.605109,177.275338,172.918855,173.445457,6410,2523.0,2528.14,2499.51,2507.95,16981361.0,13907.55,13957.22,13872.52,13872.52,6518508.0,90.265791,90.906542,86.421285,86.541429,377663,71.559955,72.526353,68.577128,68.651464,2119490,56665.28,56806.24,56312.81,56442.25,42623343.0,46.2544,46.4607,46.1782,46.2494,5541636.7025011
2015-05-06,172.69,177.62,170.41,177.62,76849,31.8375,31.8375,31.8375,31.8375,1.0677966102,15.213,15.972,15.213,15.735,60817,7.5947,7.6816,7.3083,7.5341,62406,162.769686,173.301842,160.950495,162.338828,31741,2503.35,2526.5,2498.76,2524.54,31626814.0,13879.17,13975.26,13868.85,13975.26,6536632.0,86.261098,89.384759,85.17983,87.021991,403605,68.660759,69.255466,67.73153,68.121804,855992,56412.84,56928.56,56372.05,56928.56,56624450.0,46.183,46.5203,45.9074,46.1613,5858109.2748394
2015-05-07,181.22,183.6,174.82,180.27,74149,31.8375,31.8375,31.8375,31.8375,1.0677966102,15.745,15.972,15.449,15.518,31956,7.5427,7.7858,7.5341,7.6036,39952,161.234479,161.234479,154.224285,155.568706,33812,2522.86,2527.64,2495.31,2522.61,22015212.0,13992.95,14004.61,13898.93,13958.15,8079343.0,87.102083,87.102083,83.577953,85.980767,337013,68.112514,68.307652,66.077501,68.028882,1536343,56955.25,56980.41,56420.51,56911.34,44483550.0,46.2644,46.785,46.0651,46.7216,5999709.782912
2015-05-08,180.27,182.65,176.1,176.47,45261,31.8375,33.9896,31.579,31.579,1801.3728814074,15.696,15.696,15.095,15.213,82178,7.6642,7.7511,7.5687,7.5687,17381,155.664736,157.393277,151.775518,153.600086,26051,2525.11,2555.79,2525.11,2546.78,21390544.0,13959.95,14063.9,13959.32,14063.9,6764551.0,87.262271,87.742834,86.341191,86.701614,293171,69.138823,70.08749,68.32297,69.954675,1062129,57064.04,57460.44,57051.18,57379.45,43525283.0,47.1083,47.5753,47.1083,47.1737,6008689.9668268
2015-05-11,177.43,177.43,174.67,175.06,28310,32.2683,34.4195,30.9853,33.3434,3436.1694916236,15.193,15.351,15.134,15.183,58111,7.5861,7.5947,7.3344,7.3344,58830,155.760766,155.760766,151.919563,152.399711,14871,2546.05,2547.78,2535.1,2535.1,15724407.0,14084.8,14107.44,14071.25,14076.19,4209414.0,86.821755,87.182177,85.620347,86.261095,175353,69.94519,70.334143,69.54675,70.2203,671670,57308.83,57404.6,57238.64,57262.52,31931268.0,47.1638,47.5386,47.016,47.3383,5797202.3497526
2015-05-13,174.48,177.71,172.74,175.35,18267,32.6982,32.7403,32.6982,32.6982,1917.7627119192,14.838,15.065,14.769,14.887,73377,7.3257,7.3778,7.2477,7.3083,15934,150.143007,153.648104,149.902932,151.055295,16248,2537.11,2550.84,2533.78,2540.26,26524234.0,14001.91,14027.26,13955.06,13992.53,6462231.0,86.090063,87.37499,85.219629,85.468323,354656,70.466956,70.65669,69.423423,69.708026,684876,57324.03,57436.98,57165.66,57246.74,50213947.0,47.2906,47.3096,46.8762,47.0487,4894462.4286793
2015-05-14,177.43,177.43,174.82,174.82,10105,33.541,33.541,33.541,33.541,2.1355932204,14.887,14.937,14.592,14.7,33693,7.5079,7.5079,7.1,7.2824,22630,150.527127,151.055292,148.942631,150.143013,8589,2535.55,2536.72,2512.65,2513.58,26050244.0,13997.39,14018.26,13963.88,13977.67,4962437.0,85.261079,86.7947,84.597891,86.587452,108578,69.34753,71.131023,68.968063,70.91283,598707,57229.22,57231.71,56833.23,56845.83,43764396.0,47.4107,47.6706,47.1163,47.6369,5898604.3074368
2015-05-15,174.82,181.85,173.34,177.48,25157,31.0883,32.6982,31.0883,32.6982,585.1525423896,14.69,15.065,14.375,14.887,96431,7.2736,7.3257,6.9439,7.3257,27632,149.806902,153.119939,149.182706,150.046977,11873,2515.54,2528.07,2511.79,2514.84,16032544.0,13982.53,14012.93,13921.23,13945.97,6352925.0,87.043396,88.286873,86.919048,87.043396,215781,71.102563,71.349216,70.11595,70.580798,916984,56928.82,57066.35,56842.55,56901.42,36765644.0,47.737,48.3745,47.6061,48.3498,8538792.4965682
2015-05-18,175.92,179.7,174.57,178.43,16003,32.6982,32.6982,31.4077,31.8375,3170.2881356838,14.887,14.887,14.523,14.69,69132,7.0393,7.265,6.7876,6.909,31388,151.247353,152.207653,150.143007,150.143013,10345,2521.14,2534.16,2515.08,2523.59,12649813.0,13950.33,13984.25,13876.31,13910.28,5141978.0,87.043396,88.121076,85.924266,86.877601,144766,70.694636,71.614843,70.20133,71.501006,871197,57088.52,57233.42,56906.68,57044.04,37017366.0,48.4073,48.5848,48.0969,48.2417,5477133.6700768
2015-05-19,179.28,179.28,175.53,177.48,15840,32.2683,32.2683,32.2683,32.2683,7.4745762714,14.69,14.69,14.562,14.69,27555,7.074,7.074,6.9004,6.9439,8014,150.287052,157.873427,150.287052,153.119936,21605,2525.73,2537.53,2522.17,2523.35,16836283.0,13904.1,13907.5,13786.74,13806.16,5819626.0,87.706584,90.442233,87.706584,90.19354,277493,71.814063,72.610943,71.662276,72.392748,889913,57160.21,57244.95,56944.22,56968.61,38512497.0,48.3448,48.441,48.0642,48.1941,6482786.1962801
2015-05-20,177.9,178.99,172.92,173.53,64845,32.303,32.6888,31.4077,32.6888,11.7457627122,14.542,14.69,13.409,14.621,156415,6.9439,7.048,6.9265,6.9439,6778,154.56039,154.56039,149.998962,150.046977,11972,2524.07,2524.07,2501.33,2521.07,19657790.0,13783.7,13812.6,13724.6,13809.71,3392041.0,90.359335,90.442233,89.198756,89.613247,173902,72.316856,72.516076,71.42511,72.411725,723403,56925.08,56955.49,56550.25,56925.9,36588130.0,48.3201,48.4262,47.9998,48.1802,5862891.3110127
2015-05-21,174.52,175.38,172.74,174.34,10336,32.2683,32.2683,32.2683,32.2683,1510.932203433,14.592,14.661,14.503,14.661,45494,7.3517,7.3517,6.9439,6.9439,13153,151.247353,151.871548,148.606526,149.326751,6179,2518.85,2526.83,2508.8,2524.83,14248975.0,13802.41,13810.12,13739.53,13791.58,5434318.0,89.157307,89.571799,88.494119,88.784262,137148,72.47813,72.56351,71.662276,71.823549,590688,56955.91,57001.44,56703.32,56990.6,30068887.0,48.2953,48.4499,48.0126,48.0871,5922269.4366819
2015-05-22,174.57,175.48,171.54,171.54,22385,32.6888,32.6888,32.6888,32.6888,137.7457627158,14.631,14.631,14.079,14.296,100730,6.9872,7.1261,6.9612,7.1088,8662,149.566826,149.998962,147.59821,147.934318,5425,2522.37,2523.43,2505.41,2516.76,16797959.0,13772.7,13806.06,13752.34,13781.11,4719483.0,88.577017,89.032959,88.121076,88.452667,98917,71.82355,71.90893,70.675663,71.339727,744977,56973.03,56973.03,56638.8,56828.92,35733633.0,48.3101,48.4569,47.9164,48.1019,6138970.7034853
2015-05-26,171.74,172.49,166.04,166.04,23619,32.6888,32.6888,32.2683,32.2683,278.6949152622,13.734,14.01,13.695,13.803,60183,7.2041,7.2041,6.9959,7.1434,14124,150.527127,150.527127,146.493864,146.733942,9794,2459.98,2470.04,2447.05,2448.81,19134203.0,13662.14,13689.12,13623.97,13680.54,4894456.0,88.784264,89.198756,87.457888,87.830929,112881,71.102563,72.013283,69.80289,69.897756,1009071,55875.53,56022.01,55553.99,55553.99,36892574.0,48.1019,48.2417,47.5198,47.6269,6178883.8645365
2015-05-27,166.04,174.26,166.04,171.35,32986,32.2683,32.6888,32.2683,32.5259,2549.8983051576,13.803,13.803,13.261,13.31,77423,7.1955,7.1955,7.1173,7.1782,1568,146.73394,147.59821,145.581579,146.541885,9685,2451.44,2461.84,2439.99,2460.74,31629509.0,13677.9,13693.29,13648.66,13665.61,3835153.0,87.830931,88.369771,87.209193,88.203976,171291,70.182356,70.466956,69.499316,69.973652,1031953,55642.23,55862.06,55498.11,55862.06,45725746.0,47.6556,47.8619,47.1163,47.3611,9658678.4077584
2015-05-28,172.69,174.92,169.94,169.94,33869,32.6813,32.6813,32.5259,32.5259,217.8305084808,13.083,13.734,12.492,13.665,128645,7.1173,7.2824,7.1,7.2477,4317,146.445849,147.79027,144.237158,144.621284,11923,2462.81,2463.12,2441.15,2441.15,12683919.0,13706.72,13729.59,13673.61,13725.0,3934168.0,88.121076,88.784264,86.753251,87.333539,131119,69.57521,69.71751,68.588596,69.214715,1141785,55896.87,55939.44,55556.13,55556.13,27267750.0,47.2045,47.5436,46.8762,47.2372,6259829.5582443
2015-05-29,170.78,174.39,169.84,174.39,81672,32.5259,32.5259,32.5259,32.5259,951.4067796882,13.754,14.148,13.754,14.04,42465,7.265,7.265,7.1782,7.2477,5103,145.005398,145.005398,139.48367,140.011838,16107,2442.55,2458.64,2437.81,2437.81,32546739.0,13746.12,13762.14,13702.67,13756.83,4105855.0,87.499337,87.499337,85.634122,86.172959,256283,69.20523,69.51829,67.55455,67.858122,1404270,55599.86,55851.68,55531.79,55531.79,61560525.0,47.1787,47.2759,46.6631,46.9496,6022211.1690647
2015-06-01,175.06,176.96,174.72,176.47,43392,32.6551,32.6551,32.3545,32.3545,55.5254237304,13.813,13.941,13.616,13.793,30419,7.1955,7.3344,7.1173,7.1173,2602,141.548316,141.548316,137.947189,139.147559,16833,2441.39,2449.64,2430.1,2437.09,15812182.0,13718.09,13755.04,13686.78,13753.34,3828638.0,86.587454,86.753251,85.924266,86.463109,120947,67.858123,68.285023,67.52609,68.000423,667775,55599.98,55761.48,55463.22,55605.71,30417168.0,46.9962,47.2342,46.8494,46.9923,5353051.8318489
2015-06-02,162.25,165.89,160.35,163.29,183437,32.2683,32.6551,32.2683,32.612,556.3220339142,13.773,13.842,13.438,13.842,24879,7.1088,7.1173,7.0565,7.074,7431,140.54,141.404271,138.715429,140.347934,12616,2437.04,2437.04,2405.78,2408.73,19200849.0,13760.24,13762.71,13666.31,13694.34,3198611.0,87.043396,87.043396,85.551223,85.799919,178204,68.29451,68.398863,66.890483,67.573526,1009990,55535.28,55551.74,55008.41,55045.4,34305360.0,47.0111,47.4256,46.8713,47.1519,5386096.4883921
2015-06-03,164.15,167.47,163.67,166.99,64226,32.2683,32.6036,32.2683,32.6036,153.7627118688,13.842,13.951,13.458,13.941,43986,7.1348,7.2389,7.1348,7.2389,2565,141.164196,146.349819,139.339625,144.717305,19259,2411.41,2415.52,2386.07,2388.93,20498956.0,13710.39,13724.88,13668.98,13724.88,4044074.0,87.209193,87.292091,86.131513,86.628903,297875,67.858123,68.901656,67.478657,68.389373,1110093,55128.96,55162.61,54707.67,54749.74,38937668.0,47.2342,47.6061,46.9962,47.3383,5160816.3979432
2015-06-05,166.99,169.12,165.99,168.27,93731,32.6036,32.6036,32.5259,32.5259,561.6610169652,13.852,13.941,13.803,13.902,7739,7.0654,7.2909,7.0393,7.2041,3887,140.395955,141.068166,139.051534,139.579705,12124,2387.28,2387.28,2361.62,2365.58,20012361.0,13695.86,13703.12,13642.67,13682.11,2236062.0,86.546005,86.960497,85.385426,85.426878,161180,66.975863,67.44071,66.21693,66.548965,1137808,54637.41,54644.08,54246.72,54278.69,30073543.0,46.8713,47.2144,46.7046,47.1163,4105178.3831267
2015-06-08,166.99,169.12,166.09,166.09,52051,32.5259,32.5259,32.2683,32.2683,60.8644067814,13.931,13.931,13.576,13.803,24939,7.1868,7.2303,7.0306,7.1173,1115,140.828091,140.828091,135.402392,136.218653,17050,2365.68,2375.28,2354.26,2354.26,16424167.0,13661.45,13672.48,13534.91,13595.14,3120418.0,85.468325,85.71702,84.141949,84.349195,161538,66.50153,67.288923,65.495943,66.463581,1526580,54301.82,54406.24,53953.21,53966.77,31432305.0,46.8861,47.0537,46.8167,46.8444,4670783.7455361
2015-06-09,166.04,166.94,161.77,162.71,57582,32.5259,32.5259,32.5174,32.5174,193.2711864462,13.754,13.813,13.576,13.655,24273,6.9786,7.2389,6.8482,6.8482,13441,136.986888,138.859474,136.938873,138.187258,17892,2356.16,2372.94,2338.65,2338.65,22572662.0,13561.61,13561.61,13405.24,13429.48,5394563.0,84.514992,84.888035,83.395863,83.851806,224198,66.406663,66.596397,65.239803,65.695163,1156183,53953.89,54237.83,53576.17,53576.17,44426596.0,46.9099,47.0726,46.544,46.8029,3764066.5257139
2015-06-10,163.67,167.71,156.98,166.04,94099,32.5174,33.2488,32.4996,33.2488,3806.694915363,13.576,13.576,13.271,13.576,53544,6.857,7.0306,6.5098,6.8136,19398,138.283294,138.907489,136.554753,138.475351,9239,2339.7,2388.16,2338.84,2384.49,31147838.0,13421.91,13473.42,13373.1,13446.64,4557606.0,83.810355,86.753251,83.644558,86.7118,376730,65.64773,67.58301,65.628757,67.440706,1181850,53628.08,54453.81,53617.7,54392.95,54281586.0,47.025,48.0444,46.9446,47.7231,6788730.624871
2015-06-11,166.99,166.99,164.62,166.51,61990,34.324,34.324,33.5579,34.324,595.8305084916,13.566,13.576,13.28,13.458,11231,6.9004,6.9004,6.7007,6.7007,2232,139.48367,145.485549,139.243594,142.604647,10479,2387.95,2393.72,2377.41,2383.87,15525001.0,13440.36,13461.27,13363.66,13368.11,3690959.0,86.711802,88.659916,86.504556,87.623683,211525,67.52609,69.043956,67.49763,68.275537,1177447,54493.55,54565.77,54261.18,54357.69,31877983.0,48.5322,48.5461,47.7845,47.9749,6688973.4375366
2015-06-12,167.47,169.22,166.94,167.66,113281,34.4017,37.0005,34.2303,37.0005,3851.5423729914,13.359,13.359,12.817,13.113,51093,6.8222,6.8482,6.6401,6.7528,3412,140.828091,143.516932,140.828091,142.460607,17074,2384.63,2384.63,2358.73,2358.73,12698268.0,13384.77,13411.59,13350.5,13363.53,3738762.0,87.209193,87.87238,85.799919,85.882815,198996,68.256563,68.256563,66.065143,66.539476,1442585,54369.0,54374.21,53945.35,53956.79,24749526.0,47.8212,48.0781,47.6606,47.9264,4473946.786734
2015-06-15,164.8,168.02,163.49,166.24,32806,37.0005,37.0005,34.4101,34.4195,5933.7457628814,12.837,13.261,12.817,13.261,42898,6.8136,6.8482,6.7528,6.8482,5649,143.084797,143.084797,140.34794,140.732063,20258,2353.17,2372.2,2346.76,2358.03,11753851.0,13355.76,13376.37,13313.18,13348.37,2782014.0,85.385426,85.71702,83.976152,84.349195,209382,65.837463,66.10309,65.287237,65.571839,1178398,53892.37,54191.73,53795.89,53977.29,20888133.0,47.611,47.9601,47.4445,47.728,5307193.8999748
2015-06-16,165.94,169.03,165.52,167.09,30222,34.4195,34.4195,33.6094,34.4195,3561.101695017,13.448,13.803,13.162,13.803,51995,6.8397,6.857,6.8397,6.857,2080,141.164196,142.652662,138.523369,140.828085,11465,2356.77,2363.14,2347.51,2356.77,19961107.0,13335.11,13335.11,13257.61,13281.3,3189566.0,84.059051,85.302528,83.105718,85.095283,224421,65.457997,66.283337,64.670603,66.008225,1082186,53947.95,53996.25,53741.2,53934.03,35422994.0,47.7895,48.4817,47.7707,48.2874,5450331.2750083
2015-06-17,167.84,168.84,161.67,163.67,83682,34.4101,34.4101,33.8164,34.4101,364.1186440782,13.704,13.98,13.704,13.734,22835,6.857,7.0219,6.857,7.0219,1340,142.268542,142.268542,137.226963,137.611086,9675,2357.51,2368.57,2316.85,2321.39,22594023.0,13268.09,13302.47,13143.5,13179.06,3964679.0,85.592672,85.675571,84.224848,84.390647,193769,66.10309,66.378203,64.831877,65.439026,883174,54034.66,54160.75,53115.11,53203.7,37941414.0,48.3745,48.568,48.0692,48.3795,4409200.7195738
2015-06-18,164.25,167.71,164.15,167.14,35384,34.4101,34.4101,33.8164,34.4101,341.694915264,13.734,13.961,13.695,13.961,18114,6.9351,6.9439,6.6834,6.9439,12224,138.283294,142.844722,136.122617,142.220532,10818,2315.57,2335.94,2304.33,2334.36,22270912.0,13140.18,13177.18,13099.61,13177.18,3796454.0,84.017602,84.349195,82.517139,84.349195,269686,65.19237,66.50153,64.357543,66.435122,1135855,53205.71,53423.03,52869.33,53408.53,37070376.0,48.5124,49.2611,48.4955,48.9488,6161014.2565669
